# Synthetic clear-sky desert day -- NOT measured.
# Solar geometry: NOAA positions for 36.626 N, -116.018 E on 2023-07-15, UTC-8.
# Irradiance: Laue clear-sky, transmittance 0.75, diffuse 10% of extraterrestrial horizontal.
# Sky temperature: Berdahl-Fromberg at RH 20.0%.
# 4 identical days: 1.0 h rows through the spin-up, 0.25 h on the last. Evaluate at 72 + hour.
# time_h, air_k, dni, sun_azimuth_deg, sun_elevation_deg, sky_k, diffuse_w_m2, relative_humidity
56.0000, 297.106, 918.70, 90.300, 38.307, 272.608, 84.74, 20.0
57.0000, 299.500, 969.56, 100.385, 50.270, 275.887, 105.13, 20.0
58.0000, 302.437, 999.21, 114.782, 61.742, 279.988, 120.41, 20.0
59.0000, 305.563, 1014.41, 140.898, 71.350, 284.445, 129.52, 20.0
60.0000, 308.500, 1018.04, 188.764, 74.690, 288.718, 131.85, 20.0
61.0000, 310.894, 1010.74, 229.821, 68.547, 292.262, 127.23, 20.0
62.0000, 312.457, 991.20, 250.708, 58.039, 294.603, 115.98, 20.0
63.0000, 313.000, 955.52, 263.190, 46.319, 295.421, 98.86, 20.0
64.0000, 312.803, 894.81, 272.544, 34.306, 295.124, 77.05, 20.0
65.0000, 312.222, 787.36, 280.766, 22.373, 294.249, 52.03, 20.0
66.0000, 311.281, 566.73, 288.827, 10.784, 292.839, 25.58, 20.0
67.0000, 310.022, 53.76, 297.375, 0.169, 290.965, 0.40, 20.0
68.0000, 308.500, 0.00, 306.966, 0.000, 288.718, 0.00, 20.0
69.0000, 306.781, 0.00, 318.130, 0.000, 286.207, 0.00, 20.0
70.0000, 304.941, 0.00, 331.277, 0.000, 283.550, 0.00, 20.0
71.0000, 303.059, 0.00, 346.396, 0.000, 280.868, 0.00, 20.0
72.0000, 301.219, 0.00, 2.726, 0.000, 278.277, 0.00, 20.0
72.2500, 300.775, 0.00, 6.813, 0.000, 277.656, 0.00, 20.0
72.5000, 300.339, 0.00, 10.860, 0.000, 277.050, 0.00, 20.0
72.7500, 299.914, 0.00, 14.843, 0.000, 276.460, 0.00, 20.0
73.0000, 299.500, 0.00, 18.743, 0.000, 275.887, 0.00, 20.0
73.2500, 299.098, 0.00, 22.543, 0.000, 275.333, 0.00, 20.0
73.5000, 298.710, 0.00, 26.230, 0.000, 274.799, 0.00, 20.0
73.7500, 298.336, 0.00, 29.795, 0.000, 274.286, 0.00, 20.0
74.0000, 297.978, 0.00, 33.232, 0.000, 273.796, 0.00, 20.0
74.2500, 297.636, 0.00, 36.538, 0.000, 273.329, 0.00, 20.0
74.5000, 297.312, 0.00, 39.714, 0.000, 272.888, 0.00, 20.0
74.7500, 297.006, 0.00, 42.763, 0.000, 272.472, 0.00, 20.0
75.0000, 296.719, 0.00, 45.687, 0.000, 272.083, 0.00, 20.0
75.2500, 296.452, 0.00, 48.494, 0.000, 271.722, 0.00, 20.0
75.5000, 296.206, 0.00, 51.190, 0.000, 271.390, 0.00, 20.0
75.7500, 295.981, 0.00, 53.781, 0.000, 271.087, 0.00, 20.0
76.0000, 295.778, 0.00, 56.277, 0.000, 270.814, 0.00, 20.0
76.2500, 295.598, 0.00, 58.685, 0.000, 270.572, 0.00, 20.0
76.5000, 295.440, 0.00, 61.014, 0.000, 270.361, 0.00, 20.0
76.7500, 295.307, 95.36, 63.272, 0.964, 270.182, 2.30, 20.0
77.0000, 295.197, 251.81, 65.467, 3.482, 270.034, 8.30, 20.0
77.2500, 295.111, 395.11, 67.609, 6.163, 269.920, 14.68, 20.0
77.5000, 295.049, 507.09, 69.705, 8.926, 269.837, 21.21, 20.0
77.7500, 295.012, 593.67, 71.764, 11.743, 269.788, 27.82, 20.0
78.0000, 295.000, 661.86, 73.796, 14.601, 269.771, 34.46, 20.0
78.2500, 295.034, 716.71, 75.809, 17.494, 269.817, 41.09, 20.0
78.5000, 295.137, 761.69, 77.813, 20.415, 269.954, 47.68, 20.0
78.7500, 295.307, 799.17, 79.818, 23.360, 270.182, 54.20, 20.0
79.0000, 295.543, 830.81, 81.835, 26.325, 270.498, 60.62, 20.0
79.2500, 295.843, 857.80, 83.877, 29.307, 270.902, 66.91, 20.0
79.5000, 296.206, 881.04, 85.957, 32.300, 271.390, 73.05, 20.0
79.7500, 296.628, 901.17, 88.092, 35.301, 271.960, 79.00, 20.0
80.0000, 297.106, 918.70, 90.300, 38.307, 272.608, 84.74, 20.0
80.2500, 297.636, 934.02, 92.603, 41.312, 273.329, 90.24, 20.0
80.5000, 298.215, 947.45, 95.028, 44.312, 274.120, 95.49, 20.0
80.7500, 298.838, 959.23, 97.608, 47.301, 274.974, 100.46, 20.0
81.0000, 299.500, 969.56, 100.385, 50.270, 275.887, 105.13, 20.0
81.2500, 300.196, 978.60, 103.411, 53.213, 276.852, 109.48, 20.0
81.5000, 300.922, 986.49, 106.755, 56.116, 277.862, 113.48, 20.0
81.7500, 301.671, 993.33, 110.506, 58.966, 278.910, 117.13, 20.0
82.0000, 302.437, 999.21, 114.782, 61.742, 279.988, 120.41, 20.0
82.2500, 303.216, 1004.21, 119.736, 64.415, 281.089, 123.30, 20.0
82.5000, 304.000, 1008.37, 125.570, 66.948, 282.205, 125.78, 20.0
82.7500, 304.784, 1011.76, 132.531, 69.286, 283.326, 127.86, 20.0
83.0000, 305.563, 1014.41, 140.898, 71.350, 284.445, 129.52, 20.0
83.2500, 306.329, 1016.35, 150.902, 73.039, 285.552, 130.75, 20.0
83.5000, 307.078, 1017.59, 162.565, 74.230, 286.639, 131.55, 20.0
83.7500, 307.804, 1018.15, 175.483, 74.804, 287.697, 131.92, 20.0
84.0000, 308.500, 1018.04, 188.764, 74.690, 288.718, 131.85, 20.0
84.2500, 309.162, 1017.26, 201.349, 73.904, 289.693, 131.34, 20.0
84.5000, 309.785, 1015.79, 212.491, 72.536, 290.613, 130.40, 20.0
84.7500, 310.364, 1013.63, 221.943, 70.711, 291.472, 129.03, 20.0
85.0000, 310.894, 1010.74, 229.821, 68.547, 292.262, 127.23, 20.0
85.2500, 311.372, 1007.10, 236.384, 66.138, 292.975, 125.02, 20.0
85.5000, 311.794, 1002.67, 241.906, 63.554, 293.607, 122.39, 20.0
85.7500, 312.157, 997.39, 246.618, 60.842, 294.151, 119.38, 20.0
86.0000, 312.457, 991.20, 250.708, 58.039, 294.603, 115.98, 20.0
86.2500, 312.693, 984.02, 254.314, 55.169, 294.958, 112.21, 20.0
86.5000, 312.863, 975.77, 257.545, 52.250, 295.215, 108.09, 20.0
86.7500, 312.966, 966.32, 260.483, 49.297, 295.369, 103.63, 20.0
87.0000, 313.000, 955.52, 263.190, 46.319, 295.421, 98.86, 20.0
87.2500, 312.988, 943.22, 265.714, 43.324, 295.403, 93.79, 20.0
87.5000, 312.951, 929.19, 268.095, 40.321, 295.347, 88.45, 20.0
87.7500, 312.889, 913.16, 270.363, 37.313, 295.254, 82.86, 20.0
88.0000, 312.803, 894.81, 272.544, 34.306, 295.124, 77.05, 20.0
88.2500, 312.693, 873.70, 274.658, 31.305, 294.958, 71.03, 20.0
88.5000, 312.560, 849.28, 276.723, 28.313, 294.757, 64.84, 20.0
88.7500, 312.402, 820.83, 278.755, 25.335, 294.520, 58.50, 20.0
89.0000, 312.222, 787.36, 280.766, 22.373, 294.249, 52.03, 20.0
89.2500, 312.019, 747.55, 282.768, 19.433, 293.944, 45.48, 20.0
89.5000, 311.794, 699.51, 284.772, 16.518, 293.607, 38.87, 20.0
89.7500, 311.548, 640.56, 286.789, 13.633, 293.238, 32.22, 20.0
90.0000, 311.281, 566.73, 288.827, 10.784, 292.839, 25.58, 20.0
90.2500, 310.994, 472.27, 290.896, 7.980, 292.411, 18.98, 20.0
90.5000, 310.688, 349.73, 293.004, 5.236, 291.954, 12.48, 20.0
90.7500, 310.364, 196.80, 295.161, 2.593, 291.472, 6.18, 20.0
91.0000, 310.022, 53.76, 297.375, 0.169, 290.965, 0.40, 20.0
91.2500, 309.664, 0.00, 299.653, 0.000, 290.434, 0.00, 20.0
91.5000, 309.290, 0.00, 302.006, 0.000, 289.881, 0.00, 20.0
91.7500, 308.902, 0.00, 304.441, 0.000, 289.309, 0.00, 20.0
92.0000, 308.500, 0.00, 306.966, 0.000, 288.718, 0.00, 20.0
92.2500, 308.086, 0.00, 309.590, 0.000, 288.111, 0.00, 20.0
92.5000, 307.661, 0.00, 312.321, 0.000, 287.489, 0.00, 20.0
92.7500, 307.225, 0.00, 315.165, 0.000, 286.854, 0.00, 20.0
93.0000, 306.781, 0.00, 318.130, 0.000, 286.207, 0.00, 20.0
93.2500, 306.329, 0.00, 321.221, 0.000, 285.552, 0.00, 20.0
93.5000, 305.871, 0.00, 324.442, 0.000, 284.890, 0.00, 20.0
93.7500, 305.408, 0.00, 327.794, 0.000, 284.222, 0.00, 20.0
94.0000, 304.941, 0.00, 331.277, 0.000, 283.550, 0.00, 20.0
94.2500, 304.471, 0.00, 334.887, 0.000, 282.877, 0.00, 20.0
94.5000, 304.000, 0.00, 338.618, 0.000, 282.205, 0.00, 20.0
94.7500, 303.529, 0.00, 342.459, 0.000, 281.534, 0.00, 20.0
95.0000, 303.059, 0.00, 346.396, 0.000, 280.868, 0.00, 20.0
95.2500, 302.592, 0.00, 350.412, 0.000, 280.207, 0.00, 20.0
95.5000, 302.129, 0.00, 354.484, 0.000, 279.554, 0.00, 20.0
95.7500, 301.671, 0.00, 358.591, 0.000, 278.910, 0.00, 20.0
96.0000, 301.219, 0.00, 2.726, 0.000, 278.277, 0.00, 20.0
